requirement_text,requirement_type,specification_format,specification_level,requirement_source,domain,language,label
The system shall allow end users to securely authenticate using their healthcare provider credentials and retrieve patient records from external electronic health record (EHR) systems via standardized APIs.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
"The system shall allow end users to securely log in using their unique credentials and retrieve patient records from an external electronic health record (EHR) system, ensuring data is displayed in a user-friendly format and complies with all relevant healthcare privacy regulations.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
The system shall allow end users to securely authenticate using their healthcare provider credentials and retrieve patient records from external electronic health record (EHR) systems in real-time.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
The system shall allow end users to securely authenticate using their healthcare provider credentials and retrieve patient data from external electronic health record (EHR) systems via standardized APIs.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
"The system shall allow end users to securely log in using their credentials and retrieve patient records from an external Electronic Health Record (EHR) system, ensuring data integrity and compliance with healthcare regulations.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
"The system shall allow end users to securely log in using their credentials and retrieve patient records from an external electronic health record (EHR) system, ensuring data integrity and compliance with healthcare privacy regulations.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
The system shall allow end users to securely log in using their unique credentials and access patient records through an external interface that integrates with the hospital's electronic health record (EHR) system.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
"The system shall allow end users to securely authenticate using their healthcare provider credentials and retrieve patient records from external electronic health record (EHR) systems, ensuring data integrity and compliance with HIPAA regulations.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
The system shall allow end users to securely authenticate using their healthcare provider credentials and retrieve patient data from external electronic health record (EHR) systems in real-time.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
The system shall allow end users to securely authenticate using their healthcare provider credentials and retrieve patient data from external electronic health record (EHR) systems in real-time.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
The system shall allow end users to securely log in using their credentials and access patient records through an external interface with the hospital's electronic health record (EHR) system.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
"The system shall allow end users to securely log in using their credentials and retrieve patient records from an external electronic health record (EHR) system, ensuring data integrity and compliance with healthcare regulations.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Healthcare,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time order status updates via push notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
"""The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.""",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
The system shall allow end users to place orders through the mobile app and receive real-time updates on order status via SMS notifications.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,EndUsers,Restaurant Operations Management,English,Non-Atomic
"The system shall integrate with external laboratory systems to retrieve patient test results and update the electronic health record (EHR) in real-time, and it shall also provide a secure interface for external pharmacies to submit medication orders and receive prescription approvals.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,BusinessManagers,Healthcare,English,Non-Atomic
"The system shall integrate with external laboratory information systems (LIS) to retrieve patient test results and send diagnostic orders, and it shall also interface with external pharmacy systems to transmit prescription data and receive medication dispensing updates.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,BusinessManagers,Healthcare,English,Non-Atomic
The system shall integrate with external laboratory systems to retrieve patient test results and shall also transmit patient appointment schedules to external healthcare providers.,ExternalInterfaces,ConstrainedNL,HighLevelSpecification,BusinessManagers,Healthcare,English,Non-Atomic
"The system shall integrate with external laboratory information systems (LIS) to receive and process test results, and it shall also interface with external electronic health record (EHR) systems to share patient data securely and in compliance with HIPAA regulations.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,BusinessManagers,Healthcare,English,Non-Atomic
"The system shall integrate with external laboratory information systems (LIS) to retrieve patient test results and send updated patient records to external electronic health record (EHR) systems, ensuring data accuracy and compliance with healthcare standards.",ExternalInterfaces,ConstrainedNL,HighLevelSpecification,BusinessManagers,Healthcare,English,Non-Atomic
