requirement_text,requirement_type,specification_format,specification_level,requirement_source,domain,language,label
"The healthcare system SHALL interface with external Electronic Health Record (EHR) systems as specified in Table 4.2, ensuring seamless patient data exchange, while adhering to HIPAA regulations to maintain confidentiality and data integrity.",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"The healthcare system shall integrate with external electronic health record (EHR) systems to retrieve patient data, as detailed in Table 5 of the Integration Specifications Document.",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
The healthcare system shall integrate with external electronic health record (EHR) systems to allow secure data exchange as specified in Table B1 of the Interface Control Document.,ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
Healthcare system shall integrate with external electronic health record systems (EHR) using the HL7 FHIR standard as specified in Table 2 of the Healthcare Data Exchange Protocols document.,ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"""The healthcare system shall integrate with external Electronic Health Records (EHR) systems using HL7 and FHIR protocols, as detailed in Table 3.2 and Appendix B of the Integration Guide.""",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"The healthcare system SHALL interface with external electronic health record (EHR) systems in accordance with the Health Level Seven International (HL7) standards for data exchange, as detailed in Table 3 of the implementation guide.",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"The healthcare system shall interface with the national patient database to ensure compliance with federal healthcare regulations, as detailed in Figure 3 of the compliance documentation.",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"""The healthcare system shall integrate with external electronic health record (EHR) systems as detailed in Figure 2 in the Integration Guide to ensure seamless data exchange and interoperability.""",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"The healthcare system shall interface with external electronic health record (EHR) systems by utilizing the HL7 FHIR standard as detailed in Table 5.2, to ensure interoperability and seamless data exchange, as specified in Section 3.1 of the Integration Guidelines.",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"The healthcare system shall obtain patient data by interfacing with external electronic health record (EHR) systems, as outlined in Figure 3-2 of the External Systems Interface Document (ESID), ensuring compliance with HL7 standards for seamless data exchange.",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"The healthcare system *shall* integrate with external electronic health record (EHR) systems in compliance with the Health Level Seven International (HL7) standards, ensuring secure data exchange as detailed in Table 5-2 and further elaborated in Appendix B.",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
The healthcare system shall integrate seamlessly with external Electronic Health Records (EHR) systems as specified in section 3.2 of the Interface Control Document (ICD) to ensure real-time data exchange and maintain compliance with industry standards.,ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"""The healthcare system must integrate with external electronic health record (EHR) systems to retrieve and display patient medical history; refer to Figure 5.2 for the integration protocol guidelines and consult Table 3.4 for the list of supported EHR systems.""",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
The healthcare system shall integrate with external electronic health record systems as specified in Figure 5.3 of the Integration Standards Document to ensure seamless data exchange and interoperability.,ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
The healthcare system shall integrate with the existing Electronic Health Record (EHR) system to ensure seamless data exchange; refer to the integration protocol outlined in Figure 4.2 in the Integration Plan document.,ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
"The healthcare system software shall integrate with external electronic health record (EHR) systems to import patient data as detailed in Table 5.2, ensuring compatibility with HL7 standards and protocols.",ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Healthcare,English,Directive
The system shall integrate with the external inventory management and supplier systems (see Figure 3.2 in the Integration Guidelines document) to automate the reorder process based on predefined thresholds set by Business Managers.,ExternalInterfaces,ConstrainedNL,DetailedSpecification,BusinessManagers,Restaurant Operations Management,English,Directive
