requirement;class
The patient identity is dependent on whether the locator service is provided by a third-party or part of available community or regional services.;4
Both users and admins must use MFA.;0
The system shall track cancellations, and the doctors shall be informed of cancellations.;2
The system must require a password only if the system has been logged out automatically.;0
The account management system shall only be used by managers or users with defined privileges.;5
Incomplete  inaccurate  or proprietarily-formatted information prevents efficient health information exchange activities or utilization of electronic health information.;5
It may be possible that the consultation request may need to be processed as a referral.;4
The output of the program shall usually be given within 10 seconds.;3
A set of traits (such as name DOB gender etc.) may be used by a locator service to perform a probabilistic match.;0
When a new/updated version or release of the software is released  the user should check for these as much as possible.;3
The system can allow data for a single patient to be transferred on the users request.;4
The bank is should have under maximum security.;5
System will allow for creating bills as much as possible.;3
The patient may determine the access permissions that should be granted to their list of providers for their personally controlled health information, as described in the Consumer Empowerment: 2007 Consumer Access to Clinical Information Detailed Use Case.;4
Submit authentication: Establish clinicians identity and verify whether clinician is a provider of care.;2
The patient may create and/or update their list of providers.;2
The passwords should have multiple levels of protection.;3
The client shall see maximum development.;5
The system must allow the user to correct mistakes easily.;5
Care coordinators (such as Clinical Nurse Specialists, Home Health Nurses, Physical Therapists, Social Workers, Case Managers, Nurse Practitioners, and Discharge Planners in the hospital setting) may begin planning for discharge and transfer throughout the patients episode of care.;4
System will implement Access Control List mechanism to obtain information security. ACL system will be derived from the hierarchy in hospital / healthcare environments;1
The system doesn't allow you to delete any health information, but certain objects can be marked as deleted though still present in the underlying data set.;0
The system must contain a report generator that is easy to use.;5
The restaurant owner should register employees on the web-portal and users should be allowed to edit their personal information.;2
The system shall allow the CAC  or whoever is responsible for granting access to the CPRS GUI at each site  to assign the appropriate access each time a new user is added to the system  or if restricted access is needed for existing users.;4
The diagnosis code must be either NHC code ICPC code or a temporary code.;4
There shall be a solution to add to the software.;5
When a user logs into his account and while prior setting are available the product shall allow users to choose existing settings or enter different settings.;4
The clinician and care coordinators begin the discharge documentation process which includes information such as transfer coordination and plan of care information.;0
For every action done with a patient system will have a record in the data, the user viewed/modified/created.;0
Patient data should be still available in receiving settngs when the patients' data is not accepted.;0
When a new/updated version or release of the software is released the user should check for these manually.;0
The system should not reach the maximum threshold.;3
Patient identity may be agreed upon by a number of means including demographic information agreed-to mapping of patient IDs  or shared patient ID.The means is dependent on whether the locator service is provided by a third-party  or part of available community or regional services.;4
The system must ensure data is visible and typing is possible when moving from one screen to the next.;2
The system must keep a list of those users at all times.;0
When updating the system make sure to change the interface as little as possible.;3
The care coordinator begins the transfer coordination process by communicating electronically the core set of data needed to determine whether the receiving setting can accept the patient.;5
The system must record the state of the diagnosis to be either considered  valid  or outdated.;4
The means of transport will vary depending on whether an EHR system is available to receive the results  or if a web application is used.;4
A user should be able to download the mobile application through either an application store or similar service on the mobile phone.;4
The care coordinator identifies the environment from which the patient originated (home  nursing home  etc.) and considers whether the patient may require transfer to another care setting (e.g.  rehabilitation  assisted living  home health) upon discharge.;2
Based on the patient information provided by the clinician (either the entity identifier or demographic traits)  a list of candidate patient matches will be retrieved from the locator service. This list should contain demographic data that will help the clinician determine which of the potential matches actually corresponds to the patient. ...;2
The ACL system will be derived from the hierarchy in hospital/healthcare environments.;1
The data repository either sends the test results for integration into the clinicians EHR  or sends the content to another clinical data system for viewing.;4
The system must be designed to operate the system with keyboard only.;0
The patient is evaluated by the consulting clinician and receives care/treatment as directed.;2
If required the requesting clinician may also include items needed for payor approval of the consultation such as an authorization number referral valid end date  and/or authorization signature.;0
The system can periodically transfer data from the new system.;3
The system shall return minimal results.;5
Clinicians securely access lab test results either through an EHR system (local or remote) or a clinical data system.;4
The system shall return maximum results.;3
System will allow for storing patient images or photos;0
The system must not slow down the users typing speed when moving from one field to the next.;3
The clinician discusses the need and reason for consultation with the patient.;2
System will allow for submitting a test request to a physician or clinician;4
The Patron information report shall be generated by users who have a librarian account.;0
The system shall support mass emails to patients, and users shall be able to create standalone reports.;2
System doesn't allow you to delete any health information though certain objects can be marked as deleted though still present in the underlying data set';0
Queries to the locator service could be accomplished either through the EHR user interface directly or through another clinical data system.;4
The consulting clinician may continue to provide care for or manage the patient with the consultation request.;4
The care coordinator or clinician at the receiving setting receives a request to accept a patient.;0
The system shall generate alerts for prescription refills, and doctors shall approve requests.;2
The admin should be notified about login failure.;0
The user shall be prompted to wait and the technician should be notified of the error.;2
In order to coordinate transfer of care  patient information is sent to a facility or provider to determine its ability to accept the patient. If a setting determines that it is not able to accept  the patient data may still be accessed by this setting.;2
The chart folder will store information on allergies and the doctor folder will hold a list of current medications.;2
The system will support optional SSL encryption.;4
The system shall return littlest results.;5
The system allows certain objects to be marked as deleted but still present in the underlying data set.;0
The system shall produce a plan optimized for time.;3
The system will allow for submitting a test request to a physician or clinician.;4
Upon reviewing patient data received the receiving is able to accept the patient and notifies the discharging/transferring as much as possible.;3
Send lab result location (links) pointers to authorized clinician: The location pointers will be used by the clinician to retrieve the lab test results for either viewing or integration into the EHR.;2
The system will allow for storing patient images or photos.;0
The system must be able to show all reports on the screen as well as on print.;0
The system must provide an overview of who has which rights and whether some rights have not been assigned to anyone.;2
The system will implement Access Control List mechanism to obtain information security.;0
Patient information must be sent to a facility or provider to determine its ability to accept the patient.;0
The restaurant owner should be notified about login failure.;0
When the user enters more than 15 characters while choosing the password, an error message shall ask the user to correct it.;0
